# Venue categories - hand-maintained source, merged on top of the
# TicketPortal export by tools/build_venue_tiers.py.
#
# See tools/venue_categories.sample.csv for the format and what each
# column means. Edit this file directly, or merge another file in with:
#     python tools/build_venue_tiers.py --import <file.csv>
# Then rebuild:
#     python tools/build_venue_tiers.py

venue,section,row_from,row_to,tier,sort
acrisure arena,1,,,Other,
acrisure arena,101,,,Lower (100s),
acrisure arena,101W,,,Lower (100s),
acrisure arena,103,,,Lower (100s),
acrisure arena,105,,,Lower (100s),
acrisure arena,106,,,Lower (100s),
acrisure arena,107,,,Lower (100s),
acrisure arena,108,,,Lower (100s),
acrisure arena,108W,,,Lower (100s),
acrisure arena,109,,,Lower (100s),
acrisure arena,110,,,Lower (100s),
acrisure arena,111,,,Lower (100s),
acrisure arena,111W,,,Lower (100s),
acrisure arena,117,,,Lower (100s),
acrisure arena,117W,,,Lower (100s),
acrisure arena,118,,,Lower (100s),
acrisure arena,119,,,Lower (100s),
acrisure arena,120,,,Lower (100s),
acrisure arena,120W,,,Lower (100s),
acrisure arena,121,,,Lower (100s),
acrisure arena,122,,,Lower (100s),
acrisure arena,123,,,Lower (100s),
acrisure arena,125,,,Lower (100s),
acrisure arena,127,,,Lower (100s),
acrisure arena,127W,,,Lower (100s),
acrisure arena,2,,,Other,
acrisure arena,200,,,Club / Mezz (200s),
acrisure arena,201,,,Club / Mezz (200s),
acrisure arena,202,,,Club / Mezz (200s),
acrisure arena,202 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,203,,,Club / Mezz (200s),
acrisure arena,203 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,204,,,Club / Mezz (200s),
acrisure arena,204 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,205,,,Club / Mezz (200s),
acrisure arena,205 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,206,,,Club / Mezz (200s),
acrisure arena,222,,,Club / Mezz (200s),
acrisure arena,223,,,Club / Mezz (200s),
acrisure arena,223 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,224,,,Club / Mezz (200s),
acrisure arena,224 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,225,,,Club / Mezz (200s),
acrisure arena,225 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,226,,,Club / Mezz (200s),
acrisure arena,226 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,227,,,Club / Mezz (200s),
acrisure arena,227 - SPOTLIGHT 29 PREMIUM LEVEL | EXCLU,,,Club / Mezz (200s),
acrisure arena,3,,,Other,
acrisure arena,4,,,Other,
acrisure arena,5,,,Other,
acrisure arena,6,,,Other,
acrisure arena,7,,,Other,
acrisure arena,75702 VARNER RD.,,,Upper (400+),
acrisure arena,8,,,Other,
acrisure arena,9,,,Other,
acrisure arena,ACRISURE ARENA PARKING,,,Other,
acrisure arena,C109,,,Lower (100s),
acrisure arena,C110,,,Lower (100s),
acrisure arena,CLUB 109,,,Lower (100s),
acrisure arena,CLUB 110,,,Lower (100s),
acrisure arena,DELUXE HOTEL,,,Other,
acrisure arena,EMERALD DELUXE,,,Other,
acrisure arena,EMERALD ELITE,,,Other,
acrisure arena,EMERALD FAN,,,Other,
acrisure arena,FL01,,,Other,
acrisure arena,FL02,,,Other,
acrisure arena,FL03,,,Other,
acrisure arena,FL04,,,Other,
acrisure arena,FL04W,,,Other,
acrisure arena,FL05,,,Other,
acrisure arena,FL06,,,Other,
acrisure arena,FL07,,,Other,
acrisure arena,FL07W,,,Other,
acrisure arena,FL08,,,Other,
acrisure arena,FL08W,,,Other,
acrisure arena,FL09,,,Other,
acrisure arena,FL09W,,,Other,
acrisure arena,FLOOR,,,Floor / GA,
acrisure arena,FLOOR 1,,,Floor / GA,
acrisure arena,FLOOR 2,,,Floor / GA,
acrisure arena,FLOOR 3,,,Floor / GA,
acrisure arena,FLOOR 4,,,Floor / GA,
acrisure arena,FLOOR 4 W,,,Floor / GA,
acrisure arena,FLOOR 5,,,Floor / GA,
acrisure arena,FLOOR 6,,,Floor / GA,
acrisure arena,FLOOR 7,,,Floor / GA,
acrisure arena,FLOOR 8,,,Floor / GA,
acrisure arena,FLOOR 8 W,,,Floor / GA,
acrisure arena,FLOOR 9,,,Floor / GA,
acrisure arena,LOWER 101,,,Lower (100s),
acrisure arena,LOWER 103,,,Lower (100s),
acrisure arena,LOWER 105,,,Lower (100s),
acrisure arena,LOWER 106,,,Lower (100s),
acrisure arena,LOWER 107,,,Lower (100s),
acrisure arena,LOWER 108,,,Lower (100s),
acrisure arena,LOWER 109,,,Lower (100s),
acrisure arena,LOWER 110,,,Lower (100s),
acrisure arena,LOWER 111,,,Lower (100s),
acrisure arena,LOWER 117,,,Lower (100s),
acrisure arena,LOWER 118,,,Lower (100s),
acrisure arena,LOWER 119,,,Lower (100s),
acrisure arena,LOWER 120,,,Lower (100s),
acrisure arena,LOWER 121,,,Lower (100s),
acrisure arena,LOWER 122,,,Lower (100s),
acrisure arena,LOWER 123,,,Lower (100s),
acrisure arena,LOWER 125,,,Lower (100s),
acrisure arena,LOWER 127,,,Lower (100s),
acrisure arena,LOWER C109,,,Lower (100s),
acrisure arena,LOWER C110,,,Lower (100s),
acrisure arena,MAIN LOT,,,Other,
acrisure arena,RESERVED,,,Other,
acrisure arena,RUBY FAN,,,Other,
acrisure arena,SAPPHIRE DELUXE,,,Other,
acrisure arena,SAPPHIRE ELITE,,,Other,
acrisure arena,SAPPHIRE FAN,,,Other,
acrisure arena,UPPER 202,,,Club / Mezz (200s),
acrisure arena,UPPER 203,,,Club / Mezz (200s),
acrisure arena,UPPER 204,,,Club / Mezz (200s),
acrisure arena,UPPER 205,,,Club / Mezz (200s),
acrisure arena,UPPER 206,,,Club / Mezz (200s),
acrisure arena,UPPER 223,,,Club / Mezz (200s),
acrisure arena,UPPER 224,,,Club / Mezz (200s),
acrisure arena,UPPER 225,,,Club / Mezz (200s),
acrisure arena,UPPER 226,,,Club / Mezz (200s),
acrisure arena,UPPER 227,,,Club / Mezz (200s),
acrisure arena,VIP B,,,Other,
acrisure arena,VIP B LOT,,,Other,
acrisure arena,VIP R PURCHASING A TICKET GETS YOU ACCESS TO THE,,,Other,
acrisure arena,VIP RIGHT,,,Other,
acrisure arena,VIPR,,,Other,
acrisure arena,,,,Club / Mezz (200s),1
acrisure arena,,,,Floor / GA,3
acrisure arena,,,,Lower (100s),0
acrisure arena,,,,Other,2
acrisure arena,,,,Upper (400+),4
arrowhead stadium,100S LEVEL 101,,,Cat B - LL Visitor Center 3,
arrowhead stadium,100S LEVEL 102,,,Cat B - LL Visitor Center 3,
arrowhead stadium,100S LEVEL 103,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,100S LEVEL 104,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,100S LEVEL 105,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,100S LEVEL 106,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 107,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 108,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 109,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 110,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 111,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 112,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 113,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 114,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 115,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,100S LEVEL 116,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,100S LEVEL 117,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,100S LEVEL 118,,,Cat A - LL Chiefs Center 3,
arrowhead stadium,100S LEVEL 119,,,Cat A - LL Chiefs Center 3,
arrowhead stadium,100S LEVEL 120,,,Cat A - LL Chiefs Center 3,
arrowhead stadium,100S LEVEL 121,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,100S LEVEL 122,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,100S LEVEL 123,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,100S LEVEL 124,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 125,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 126,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 127,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 128,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 129,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 130,,,Cat F - LL Endzone,
arrowhead stadium,100S LEVEL 131,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 132,,,Cat E - LL Corner,
arrowhead stadium,100S LEVEL 133,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,100S LEVEL 134,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,100S LEVEL 135,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,100S LEVEL 136,,,Cat B - LL Visitor Center 3,
arrowhead stadium,101,,,Cat B - LL Visitor Center 3,
arrowhead stadium,102,,,Cat B - LL Visitor Center 3,
arrowhead stadium,103,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,104,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,105,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,106,,,Cat E - LL Corner,
arrowhead stadium,107,,,Cat E - LL Corner,
arrowhead stadium,108,,,Cat F - LL Endzone,
arrowhead stadium,109,,,Cat F - LL Endzone,
arrowhead stadium,110,,,Cat F - LL Endzone,
arrowhead stadium,111,,,Cat F - LL Endzone,
arrowhead stadium,112,,,Cat F - LL Endzone,
arrowhead stadium,113,,,Cat E - LL Corner,
arrowhead stadium,114,,,Cat E - LL Corner,
arrowhead stadium,115,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,116,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,117,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,118,,,Cat A - LL Chiefs Center 3,
arrowhead stadium,119,,,Cat A - LL Chiefs Center 3,
arrowhead stadium,120,,,Cat A - LL Chiefs Center 3,
arrowhead stadium,121,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,122,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,123,,,Cat C - LL Chiefs Sideline,
arrowhead stadium,124,,,Cat E - LL Corner,
arrowhead stadium,125,,,Cat E - LL Corner,
arrowhead stadium,126,,,Cat F - LL Endzone,
arrowhead stadium,127,,,Cat F - LL Endzone,
arrowhead stadium,128,,,Cat F - LL Endzone,
arrowhead stadium,129,,,Cat F - LL Endzone,
arrowhead stadium,130,,,Cat F - LL Endzone,
arrowhead stadium,131,,,Cat E - LL Corner,
arrowhead stadium,132,,,Cat E - LL Corner,
arrowhead stadium,133,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,134,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,135,,,Cat D - LL Visitor's Sideline,
arrowhead stadium,136,,,Cat B - LL Visitor Center 3,
arrowhead stadium,201,,,Cat G - Club Center 3,
arrowhead stadium,202,,,Cat G - Club Center 3,
arrowhead stadium,203,,,Cat H - Club Sideline,
arrowhead stadium,204,,,Cat H - Club Sideline,
arrowhead stadium,205,,,Cat H - Club Sideline,
arrowhead stadium,206,,,Cat I - Club Corners,
arrowhead stadium,207,,,Cat I - Club Corners,
arrowhead stadium,208,,,Cat I - Club Corners,
arrowhead stadium,209,,,Cat I - Club Corners,
arrowhead stadium,210,,,Cat J - Club Endzone,
arrowhead stadium,211,,,Cat J - Club Endzone,
arrowhead stadium,212,,,Cat J - Club Endzone,
arrowhead stadium,213,,,Cat J - Club Endzone,
arrowhead stadium,214,,,Cat J - Club Endzone,
arrowhead stadium,215,,,Cat J - Club Endzone,
arrowhead stadium,216,,,Cat I - Club Corners,
arrowhead stadium,217,,,Cat I - Club Corners,
arrowhead stadium,218,,,Cat I - Club Corners,
arrowhead stadium,219,,,Cat I - Club Corners,
arrowhead stadium,220,,,Cat H - Club Sideline,
arrowhead stadium,221,,,Cat H - Club Sideline,
arrowhead stadium,227,,,Cat H - Club Sideline,
arrowhead stadium,228,,,Cat H - Club Sideline,
arrowhead stadium,229,,,Cat I - Club Corners,
arrowhead stadium,230,,,Cat I - Club Corners,
arrowhead stadium,231,,,Cat I - Club Corners,
arrowhead stadium,232,,,Cat I - Club Corners,
arrowhead stadium,233,,,Cat J - Club Endzone,
arrowhead stadium,234,,,Cat J - Club Endzone,
arrowhead stadium,235,,,Cat J - Club Endzone,
arrowhead stadium,236,,,Cat J - Club Endzone,
arrowhead stadium,237,,,Cat J - Club Endzone,
arrowhead stadium,238,,,Cat J - Club Endzone,
arrowhead stadium,239,,,Cat I - Club Corners,
arrowhead stadium,240,,,Cat I - Club Corners,
arrowhead stadium,241,,,Cat I - Club Corners,
arrowhead stadium,242,,,Cat I - Club Corners,
arrowhead stadium,243,,,Cat H - Club Sideline,
arrowhead stadium,244,,,Cat H - Club Sideline,
arrowhead stadium,245,,,Cat H - Club Sideline,
arrowhead stadium,246,,,Cat G - Club Center 3,
arrowhead stadium,300S LEVEL 301,,,Cat K - UL Center 3,
arrowhead stadium,300S LEVEL 302,,,Cat K - UL Center 3,
arrowhead stadium,300S LEVEL 303,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 304,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 305,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 306,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 307,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 308,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 309,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 310,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 311,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 312,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 313,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 314,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 315,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 316,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 317,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 318,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 319,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 320,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 321,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 322,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 323,,,Cat K - UL Center 3,
arrowhead stadium,300S LEVEL 324,,,Cat K - UL Center 3,
arrowhead stadium,300S LEVEL 325,,,Cat K - UL Center 3,
arrowhead stadium,300S LEVEL 326,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 327,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 328,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 329,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 330,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 331,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 332,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 333,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 334,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 335,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 336,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 337,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 338,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 339,,,Cat N - Upper Endzone,
arrowhead stadium,300S LEVEL 340,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 341,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 342,,,Cat M - Upper Corner,
arrowhead stadium,300S LEVEL 343,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 344,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 345,,,Cat L - Upper Sideline,
arrowhead stadium,300S LEVEL 346,,,Cat K - UL Center 3,
arrowhead stadium,301,,,Cat K - UL Center 3,
arrowhead stadium,302,,,Cat K - UL Center 3,
arrowhead stadium,303,,,Cat L - Upper Sideline,
arrowhead stadium,304,,,Cat L - Upper Sideline,
arrowhead stadium,305,,,Cat L - Upper Sideline,
arrowhead stadium,306,,,Cat M - Upper Corner,
arrowhead stadium,307,,,Cat M - Upper Corner,
arrowhead stadium,308,,,Cat M - Upper Corner,
arrowhead stadium,309,,,Cat N - Upper Endzone,
arrowhead stadium,310,,,Cat N - Upper Endzone,
arrowhead stadium,311,,,Cat N - Upper Endzone,
arrowhead stadium,312,,,Cat N - Upper Endzone,
arrowhead stadium,313,,,Cat N - Upper Endzone,
arrowhead stadium,314,,,Cat N - Upper Endzone,
arrowhead stadium,315,,,Cat N - Upper Endzone,
arrowhead stadium,316,,,Cat N - Upper Endzone,
arrowhead stadium,317,,,Cat M - Upper Corner,
arrowhead stadium,318,,,Cat M - Upper Corner,
arrowhead stadium,319,,,Cat M - Upper Corner,
arrowhead stadium,320,,,Cat L - Upper Sideline,
arrowhead stadium,321,,,Cat L - Upper Sideline,
arrowhead stadium,322,,,Cat L - Upper Sideline,
arrowhead stadium,323,,,Cat K - UL Center 3,
arrowhead stadium,324,,,Cat K - UL Center 3,
arrowhead stadium,325,,,Cat K - UL Center 3,
arrowhead stadium,326,,,Cat L - Upper Sideline,
arrowhead stadium,327,,,Cat L - Upper Sideline,
arrowhead stadium,328,,,Cat L - Upper Sideline,
arrowhead stadium,329,,,Cat M - Upper Corner,
arrowhead stadium,330,,,Cat M - Upper Corner,
arrowhead stadium,331,,,Cat M - Upper Corner,
arrowhead stadium,332,,,Cat N - Upper Endzone,
arrowhead stadium,333,,,Cat N - Upper Endzone,
arrowhead stadium,334,,,Cat N - Upper Endzone,
arrowhead stadium,335,,,Cat N - Upper Endzone,
arrowhead stadium,336,,,Cat N - Upper Endzone,
arrowhead stadium,337,,,Cat N - Upper Endzone,
arrowhead stadium,338,,,Cat N - Upper Endzone,
arrowhead stadium,339,,,Cat N - Upper Endzone,
arrowhead stadium,340,,,Cat M - Upper Corner,
arrowhead stadium,341,,,Cat M - Upper Corner,
arrowhead stadium,342,,,Cat M - Upper Corner,
arrowhead stadium,343,,,Cat L - Upper Sideline,
arrowhead stadium,344,,,Cat L - Upper Sideline,
arrowhead stadium,345,,,Cat L - Upper Sideline,
arrowhead stadium,346,,,Cat K - UL Center 3,
arrowhead stadium,4009 BLUE RIDGE CUTOFF,,,Upper (400+),
arrowhead stadium,4501 BLUE RIDGE CUTOFF,,,Upper (400+),
arrowhead stadium,4501 BLUE RIDGE CUTOFF - LOT,,,Upper (400+),
arrowhead stadium,4501 BLUE RIDGE CUTOFF LOT,,,Other,
arrowhead stadium,4501 BLUE RIDGE CUTOFF LOT - 0.7 MI FROM VENUE,,,Upper (400+),
arrowhead stadium,ADA 103,,,Other,
arrowhead stadium,ADA 112,,,Other,
arrowhead stadium,ADA 127,,,Lower (100s),
arrowhead stadium,ADA 135,,,Other,
arrowhead stadium,ADA 212,,,Other,
arrowhead stadium,ADA 214,,,Other,
arrowhead stadium,ADA 221,,,Club / Mezz (200s),
arrowhead stadium,ADA 320,,,Other,
arrowhead stadium,ADA 321,,,Other,
arrowhead stadium,ADA 323,,,Other,
arrowhead stadium,ADA 325,,,Other,
arrowhead stadium,ADA 328,,,Upper (300s),
arrowhead stadium,ADA103,,,Other,
arrowhead stadium,ADA105,,,Other,
arrowhead stadium,ADA108,,,Other,
arrowhead stadium,ADA109,,,Other,
arrowhead stadium,ADA112,,,Other,
arrowhead stadium,ADA115,,,Other,
arrowhead stadium,ADA117,,,Other,
arrowhead stadium,ADA126,,,Other,
arrowhead stadium,ADA127,,,Lower (100s),
arrowhead stadium,ADA129,,,Other,
arrowhead stadium,ADA130,,,Other,
arrowhead stadium,ADA133,,,Other,
arrowhead stadium,ADA135,,,Other,
arrowhead stadium,ADA212,,,Club / Mezz (200s),
arrowhead stadium,ADA214,,,Other,
arrowhead stadium,ADA221,,,Club / Mezz (200s),
arrowhead stadium,ADA320,,,Other,
arrowhead stadium,ADA321,,,Other,
arrowhead stadium,ADA322,,,Other,
arrowhead stadium,ADA323,,,Other,
arrowhead stadium,ADA325,,,Other,
arrowhead stadium,ADA327,,,Other,
arrowhead stadium,ADA328,,,Upper (300s),
arrowhead stadium,ARROWHEAD STADIUM PARKING,,,Other,
arrowhead stadium,CHIEFS PREMIUM,,,Other,
arrowhead stadium,CHIEFS SIDELINE,,,Other,
arrowhead stadium,CHPTGS,,,Other,
arrowhead stadium,CLUB LEVEL,,,Other,
arrowhead stadium,CLUB LEVEL 201,,,Cat G - Club Center 3,
arrowhead stadium,CLUB LEVEL 202,,,Cat G - Club Center 3,
arrowhead stadium,CLUB LEVEL 203,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 204,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 205,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 206,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 207,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 208,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 209,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 210,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 211,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 212,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 212 ADA,,,Other,
arrowhead stadium,CLUB LEVEL 213,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 214,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 214 ADA,,,Other,
arrowhead stadium,CLUB LEVEL 215,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 216,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 217,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 218,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 219,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 220,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 221,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 227,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 228,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 229,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 230,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 231,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 232,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 233,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 234,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 235,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 236,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 237,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 238,,,Cat J - Club Endzone,
arrowhead stadium,CLUB LEVEL 239,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 240,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 241,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 242,,,Cat I - Club Corners,
arrowhead stadium,CLUB LEVEL 243,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 244,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 245,,,Cat H - Club Sideline,
arrowhead stadium,CLUB LEVEL 246,,,Cat G - Club Center 3,
arrowhead stadium,CLUB PREMIUM,,,Other,
arrowhead stadium,DELUXE HOTEL,,,Other,
arrowhead stadium,GOLD LOT,,,Other,
arrowhead stadium,GOLD LOTS,,,Other,
arrowhead stadium,GOLD1,,,Other,
arrowhead stadium,GOLD2,,,Other,
arrowhead stadium,LOTE,,,Other,
arrowhead stadium,LOTM,,,Other,
arrowhead stadium,LOWER 103 ADA,,,Lower (100s),
arrowhead stadium,LOWER 112 ADA,,,Other,
arrowhead stadium,LOWER LEVEL,,,Other,
arrowhead stadium,PENTHOUSE SUITE,,,Other,
arrowhead stadium,PLATINUM E,,,Other,
arrowhead stadium,PLATINUM M,,,Other,
arrowhead stadium,PTHSTE,,,Other,
arrowhead stadium,RED,,,Other,
arrowhead stadium,RED LOT,,,Other,
arrowhead stadium,RED LOT GENERAL ADMISSION,,,Floor / GA,
arrowhead stadium,RED LOTS,,,Other,
arrowhead stadium,RED1,,,Other,
arrowhead stadium,RED2,,,Other,
arrowhead stadium,RED3,,,Other,
arrowhead stadium,RED4,,,Other,
arrowhead stadium,RED5,,,Other,
arrowhead stadium,RED9,,,Other,
arrowhead stadium,UPPER LEVEL,,,Other,
arrowhead stadium,UPPER SIDELINE,,,Other,
arrowhead stadium,VIP TAILGATE,,,Other,
arrowhead stadium,VISITORS PREMIUM,,,Other,
arrowhead stadium,VISITORS SIDELINE,,,Other,
arrowhead stadium,,,,Cat A - LL Chiefs Center 3,0
arrowhead stadium,,,,Cat B - LL Visitor Center 3,1
arrowhead stadium,,,,Cat C - LL Chiefs Sideline,2
arrowhead stadium,,,,Cat D - LL Visitor's Sideline,3
arrowhead stadium,,,,Cat E - LL Corner,4
arrowhead stadium,,,,Cat F - LL Endzone,5
arrowhead stadium,,,,Cat G - Club Center 3,6
arrowhead stadium,,,,Cat H - Club Sideline,7
arrowhead stadium,,,,Cat I - Club Corners,8
arrowhead stadium,,,,Cat J - Club Endzone,9
arrowhead stadium,,,,Cat K - UL Center 3,10
arrowhead stadium,,,,Cat L - Upper Sideline,11
arrowhead stadium,,,,Cat M - Upper Corner,12
arrowhead stadium,,,,Cat N - Upper Endzone,13
arrowhead stadium,,,,Club / Mezz (200s),18
arrowhead stadium,,,,Floor / GA,21
arrowhead stadium,,,,Lower (100s),17
arrowhead stadium,,,,Other,16
arrowhead stadium,,,,Upper (300s),19
arrowhead stadium,,,,Upper (400+),20
bobby dodd stadium,101,,,Lower (100s),
bobby dodd stadium,102,,,Lower (100s),
bobby dodd stadium,103,,,Lower (100s),
bobby dodd stadium,104,,,Lower (100s),
bobby dodd stadium,105,,,Lower (100s),
bobby dodd stadium,106,,,Lower (100s),
bobby dodd stadium,107,,,Lower (100s),
bobby dodd stadium,108,,,Lower (100s),
bobby dodd stadium,109,,,Lower (100s),
bobby dodd stadium,110,,,Lower (100s),
bobby dodd stadium,111,,,Lower (100s),
bobby dodd stadium,121,,,Lower (100s),
bobby dodd stadium,122,,,Lower (100s),
bobby dodd stadium,123,,,Lower (100s),
bobby dodd stadium,124,,,Lower (100s),
bobby dodd stadium,127,,,Lower (100s),
bobby dodd stadium,128,,,Lower (100s),
bobby dodd stadium,129,,,Lower (100s),
bobby dodd stadium,130,,,Lower (100s),
bobby dodd stadium,131,,,Lower (100s),
bobby dodd stadium,132,,,Lower (100s),
bobby dodd stadium,201,,,Club / Mezz (200s),
bobby dodd stadium,202,,,Club / Mezz (200s),
bobby dodd stadium,203,,,Club / Mezz (200s),
